datetime,locality,zones,region,threat_type
2018-12-26 10:05:01,Adanim,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Azur,All,Dan 162,Red Alert
2018-12-26 10:05:01,Bat Yam,All,Dan 165,Red Alert
2018-12-26 10:05:01,Beit Berl,All,Sharon 141,Red Alert
2018-12-26 10:05:01,Bnei Brak,All,Dan 160,Red Alert
2018-12-26 10:05:01,Elishama,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Galil Yam,All,Dan 155,Red Alert
2018-12-26 10:05:01,Gan Chaim,All,Sharon 141,Red Alert
2018-12-26 10:05:01,Ganei Am,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Ganei Tikvah,All,Dan 161,Red Alert
2018-12-26 10:05:01,"Givat He""""n",All,Sharon 140,Red Alert
2018-12-26 10:05:01,Givat He''n,All,Sharon 140,Red Alert
2018-12-26 10:05:01,Givat Shmuel,All,Dan 161,Red Alert
2018-12-26 10:05:01,Givatiim,All,Dan 160,Red Alert
2018-12-26 10:05:01,Hagor,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Hakfar Hayarok,All,Dan 155,Red Alert
2018-12-26 10:05:01,Havat Shalem,All,Dan 160,Red Alert
2018-12-26 10:05:01,Herzeliya,All,Dan,Red Alert
2018-12-26 10:05:01,Hod Hsharon,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Holon,All,Dan 162,Red Alert
2018-12-26 10:05:01,Horashim,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Jaljulia,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Kfar Azar,All,Dan 161,Red Alert
2018-12-26 10:05:01,Kfar Bara,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Kfar Kasem,All,Sharon 143,Red Alert
2018-12-26 10:05:01,"Kfar Mal""""al",All,Sharon 143,Red Alert
2018-12-26 10:05:01,Kfar Mal''al,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Kfar Saba,All,Sharon 141,Red Alert
2018-12-26 10:05:01,Kfar Shmariyahu,All,Dan 155,Red Alert
2018-12-26 10:05:01,Kiriyat Ono,All,Dan 161,Red Alert
2018-12-26 10:05:01,Matan,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Mikveh Israel,All,Dan 162,Red Alert
2018-12-26 10:05:01,Naveh Efal,All,Dan 161,Red Alert
2018-12-26 10:05:01,Naveh Yamin,All,Sharon 141,Red Alert
2018-12-26 10:05:01,Naveh Yarak,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Neve Efraim Monosson,All,Dan 161,Red Alert
2018-12-26 10:05:01,Nir Eliyahu,All,Sharon 141,Red Alert
2018-12-26 10:05:01,Nirit,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Or Yehuda,All,Dan 161,Red Alert
2018-12-26 10:05:01,Oranit,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Raanana,All,Sharon 140,Red Alert
2018-12-26 10:05:01,Ramat Efal,All,Dan 161,Red Alert
2018-12-26 10:05:01,Ramat Gan,"Bar Ilan University, Ramat Ef'al & Tel Hashomer",Dan,Red Alert
2018-12-26 10:05:01,Ramat Hasharon,All,Dan 155,Red Alert
2018-12-26 10:05:01,Ramat Pinkas,All,Dan 161,Red Alert
2018-12-26 10:05:01,Ramot Hshavim,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Sade Verburg,All,Sharon 141,Red Alert
2018-12-26 10:05:01,Savion,All,Dan 161,Red Alert
2018-12-26 10:05:01,Sdei Hemed,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Tel Aviv,"South West, North, Central, South East",Dan,Red Alert
2018-12-26 10:05:01,Yahud Monoson,All,Dan 161,Red Alert
2018-12-26 10:05:01,Yarhiv,All,Sharon 143,Red Alert
2018-12-26 10:05:01,Yarkona,All,Sharon 143,Red Alert
2019-01-02 10:05:03,Be'er Ora,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Dead Sea Factories,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Dead Sea Industries,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Eilat,All,Eilat 311,Red Alert
2019-01-02 10:05:03,Eilot,All,Eilat 311,Red Alert
2019-01-02 10:05:03,Ein Hatzava,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Ein Tamar,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Ein Yahav,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Elipaz,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Grufit,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Hatzba,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Idan,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Ir Ovot,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Ir Ubot,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Katura,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Lotan,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Na'ot Smadar,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Naot Hkikar,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Naveh Harif,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Paran,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Samar,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Sapir,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Shacharot,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Timna Mines,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Tzofar,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Tzukim,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Yahel,All,Arabah 310,Red Alert
2019-01-02 10:05:03,Yotvata,All,Arabah 310,Red Alert
2019-01-07 03:18:50,Ashkelon,All,Lakhish,Red Alert
2019-01-07 03:18:50,Be'ere Ganim,All,Lakhish 246,Red Alert
2019-01-12 20:59:15,Alumim,All,Gaza Containment Zone 224,Red Alert
2019-01-12 20:59:15,Kfar Maimon,All,Gaza Containment Zone 225,Red Alert
2019-01-12 20:59:15,Nachal Oz,All,Gaza Containment Zone 224,Red Alert
2019-01-12 20:59:15,Shokedet,All,Gaza Containment Zone 225,Red Alert
2019-01-12 20:59:15,Tushiya,All,Gaza Containment Zone 225,Red Alert
2019-01-12 20:59:15,Yezra'am Farm,All,Gaza Containment Zone 225,Red Alert
2019-01-12 20:59:15,Zimrat,All,Gaza Containment Zone 225,Red Alert
